Adam Gilchrist	14th November 1971
Andrew Symonds	9th June 1975
Brad Haddin	23rd October 1977
Brad Hodge	29th December 1974
John Parker	24th December 1988
Kate Winslet	11th January 1973
Maria Sharapova	20th May 1978
Aishwarya Rai	6th December 1985
Penelope Cruz	24th April 1973
Rehman Khan	13th March 1965
Shreya Ghoshal	15th February 1976
Ajay Chouhan	22nd April 1969
Sunidhi Chouhan	14th April 1975
Pari Shastri	19th September 1967
Bill Gates	12th November 1971
Mukesh Ambani	19th June 1975
Brad Kitron	23rd October 1977
Koshlynn Hodge	12th December 1974
Laxmipati Mittal	16th February 1971
Rehal William	25th November 1974
Amar Richardson	25th December 1984
Andrew Mirtun	2nd March 1977
Harwinder Singh	12th December 1981
Zaheer Abbani	7th October 1978
Andre Adams	17th July 1975
Kwerty Smith	27th September 1981
Kwasert Hooper	17th May 1986
Chris Jainson	13th June 1970
Terroson Harris	20th November 1969
Shirvam Martin	10th December 1974
